==========] Running 26 tests from 4 test suites.
[----------] Global test environment set-up.
[----------] 16 tests from SiliconDriverWH
[ RUN      ] SiliconDriverWH.OneDramOneTensixNoEthSocDesc
2025-09-09 14:30:43.950 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:43.950 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:43.952 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:43.988 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.012 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.012 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.012 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.012 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.013 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.050 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.073 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.073 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.073 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.073 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.075 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.112 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.134 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.134 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.134 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.134 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.136 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.171 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.195 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.195 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.195 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.195 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.196 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.233 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.257 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.257 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.257 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.257 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.258 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.294 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.317 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
2025-09-09 14:30:44.317 | info     |   SiliconDriver | All devices in cluster running firmware version: 18.7.0 (cluster.cpp:229)
2025-09-09 14:30:44.317 | info     |   SiliconDriver | IOMMU: disabled (cluster.cpp:174)
2025-09-09 14:30:44.317 | info     |   SiliconDriver | KMD version: 1.34.0 (cluster.cpp:177)
2025-09-09 14:30:44.319 | info     |   SiliconDriver | Software version 6.0.0, Ethernet FW version 7.0.0 (Device 0) (cluster.cpp:1071)
2025-09-09 14:30:44.355 | info     |   SiliconDriver | Skipping harvesting for chip 0. (cluster.cpp:402)
2025-09-09 14:30:44.379 | info     |   SiliconDriver | Opening local chip ids/PCIe ids: {0}/[6] and remote chip ids {} (cluster.cpp:244)
